Species,species
Massiliomicrobiota_timonensis,Massiliomicrobiota timonensis
Megamonas_funiformis,Megamonas funiformis
Megamonas_hypermegale,Megamonas hypermegale
Megasphaera_elsdenii,Megasphaera elsdenii
Methanobrevibacter_smithii,Methanobrevibacter smithii
Methanosphaera_stadtmanae,Methanosphaera stadtmanae
Mitsuokella_multacida,Mitsuokella multacida
Mogibacterium_diversum,Mogibacterium diversum
Monoglobus_pectinilyticus,Monoglobus pectinilyticus
Odoribacter_laneus,Odoribacter laneus
Odoribacter_splanchnicus,Odoribacter splanchnicus
Olsenella_scatoligenes,Olsenella scatoligenes
Oscillibacter_sp_57_20,Oscillibacter sp. 57 20
Oscillibacter_sp_CAG_241,Oscillibacter sp. CAG:241
Oxalobacter_formigenes,Oxalobacter formigenes
Parabacteroides_distasonis,Parabacteroides distasonis
Parabacteroides_goldsteinii,Parabacteroides goldsteinii
Parabacteroides_johnsonii,Parabacteroides johnsonii
Parabacteroides_merdae,Parabacteroides merdae
Parabacteroides_sp_CAG_409,Parabacteroides sp. CAG:409
Paraprevotella_clara,Paraprevotella clara
Paraprevotella_xylaniphila,Paraprevotella xylaniphila
Parasutterella_excrementihominis,Parasutterella excrementihominis
Phascolarctobacterium_faecium,Phascolarctobacterium faecium
Phascolarctobacterium_succinatutens,Phascolarctobacterium succinatutens
Prevotella_bivia,Prevotella bivia
Prevotella_copri,Prevotella copri
Prevotella_sp_885,Prevotella sp. 885
Prevotella_sp_AM42_24,Prevotella sp. AM42 24
Prevotella_sp_CAG_1092,Prevotella sp. CAG:1092
Prevotella_sp_CAG_279,Prevotella sp. CAG:279
Prevotella_sp_CAG_520,Prevotella sp. CAG:520
Prevotella_sp_CAG_5226,Prevotella sp. CAG:5226
Prevotella_sp_CAG_873,Prevotella sp. CAG:873
Prevotella_stercorea,Prevotella stercorea
Proteobacteria_bacterium_CAG_139,Proteobacteria bacterium CAG:139
Romboutsia_ilealis,Romboutsia ilealis
Roseburia_faecis,Roseburia faecis
Roseburia_hominis,Roseburia hominis
Roseburia_intestinalis,Roseburia intestinalis
Roseburia_inulinivorans,Roseburia inulinivorans
Roseburia_sp_CAG_182,Roseburia sp. CAG:182
Roseburia_sp_CAG_303,Roseburia sp. CAG:303
Roseburia_sp_CAG_309,Roseburia sp. CAG:309
Roseburia_sp_CAG_471,Roseburia sp. CAG:471
Rothia_mucilaginosa,Rothia mucilaginosa
Ruminococcaceae_bacterium_D16,Ruminococcaceae bacterium D16
Ruminococcaceae_bacterium_D5,Ruminococcaceae bacterium D5
Ruminococcus_bicirculans,Ruminococcus bicirculans
Ruminococcus_bromii,Ruminococcus bromii
Ruminococcus_callidus,Ruminococcus callidus
Ruminococcus_champanellensis,Ruminococcus champanellensis
Ruminococcus_gnavus,[Ruminococcus] gnavus
Ruminococcus_lactaris,[Ruminococcus] lactaris
Ruminococcus_obeum_CAG_39,Ruminococcus obeum CAG:39
Ruminococcus_sp_CAG_330,Ruminococcus sp. CAG:330
Ruminococcus_sp_CAG_403,Ruminococcus sp. CAG:403
Ruminococcus_sp_CAG_488,Ruminococcus sp. CAG:488
Ruminococcus_sp_CAG_563,Ruminococcus sp. CAG:563
Ruminococcus_sp_CAG_624,Ruminococcus sp. CAG:624
Ruminococcus_torques,[Ruminococcus] torques
Ruthenibacterium_lactatiformans,Ruthenibacterium lactatiformans
Sanguibacteroides_justesenii,Sanguibacteroides justesenii
Sellimonas_intestinalis,Sellimonas intestinalis
Slackia_exigua,Slackia exigua
Slackia_isoflavoniconvertens,Slackia isoflavoniconvertens
Streptococcus_anginosus_group,Streptococcus anginosus group
Streptococcus_australis,Streptococcus australis
Streptococcus_gordonii,Streptococcus gordonii
Streptococcus_infantis,Streptococcus infantis
Streptococcus_lutetiensis,Streptococcus lutetiensis
Streptococcus_mitis,Streptococcus mitis
Streptococcus_mutans,Streptococcus mutans
Streptococcus_oralis,Streptococcus oralis
Streptococcus_parasanguinis,Streptococcus parasanguinis
Streptococcus_pasteurianus,Streptococcus pasteurianus
Streptococcus_salivarius,Streptococcus salivarius
Streptococcus_sp_A12,Streptococcus sp. A12
Streptococcus_sp_F0442,Streptococcus sp. F0442
Streptococcus_thermophilus,Streptococcus thermophilus
Streptococcus_vestibularis,Streptococcus vestibularis
Sutterella_parvirubra,Sutterella parvirubra
Terrisporobacter_othiniensis,Terrisporobacter othiniensis
Treponema_berlinense,Treponema berlinense
Treponema_succinifaciens,Treponema succinifaciens
Turicibacter_sanguinis,Turicibacter sanguinis
Turicimonas_muris,Turicimonas muris
Veillonella_atypica,Veillonella atypica
Veillonella_dispar,Veillonella dispar
Veillonella_infantium,Veillonella infantium
Veillonella_parvula,Veillonella parvula
Veillonella_rodentium,Veillonella rodentium
Veillonella_sp_T11011_6,Veillonella sp. T11011 6
Veillonella_tobetsuensis,Veillonella tobetsuensis
Weissella_cibaria,Weissella cibaria
Weissella_confusa,Weissella confusa
