clade_name	clade_taxid	profiled_HDW-D03-S37	profiled_HDW-D03-S35	profiled_HDW-D03-S34	profiled_HDW-D03-S33	profiled_HDW-D03-S32	profiled_HDW-D03-S31	profiled_HDW-D03-S28	profiled_HDW-D03-S27	profiled_HDW-D03-S26	profiled_HDW-D03-S25	profiled_HDW-C02-S115	profiled_HDW-C02-S113	profiled_HDW-C02-S112	profiled_HDW-C02-S111	profiled_HDW-C02-S106	profiled_HDW-C02-S104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus	2|1224|1236|135625|712|724	0.09162	0	0	0.07668	0.0019	0.16841	0	0.23274	0.01485	0.03117	0	0.45463	0	0	0.05667	0.0529
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae	2|1224|1236|135625|712|724|729	0.09162	0	0	0.07267	0.0019	0.16109	0	0.23274	0.01485	0.03117	0	0.4468	0	0	0.05667	0.0529
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sp_HMSC71H05	2|1224|1236|135625|712|724|1608898	0	0	0	0.004	0	0	0	0	0	0	0	0.00783	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_sputorum	2|1224|1236|135625|712|724|1078480	0	0	0	0	0	0.00732	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified	2|1224|	0.05379	0	0	0	0.03036	0	0.00131	0	0	0	0	0	0	0.02938	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified	2|1224||	0.05379	0	0	0	0.03036	0	0.00131	0	0	0	0	0	0	0.02938	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified	2|1224|||	0.05379	0	0	0	0.03036	0	0.00131	0	0	0	0	0	0	0.02938	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified	2|1224||||	0.05379	0	0	0	0.03036	0	0.00131	0	0	0	0	0	0	0.02938	0	0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	2|1224|||||1262986	0.05379	0	0	0	0.03036	0	0.00131	0	0	0	0	0	0	0.02938	0	0
k__Bacteria|p__Spirochaetes	2|203691	0	0	0	0	0	0	0	0	0	0	0.2953	0	0	1.42011	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia	2|203691|203692	0	0	0	0	0	0	0	0	0	0	0.2953	0	0	1.42011	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2|203691|203692|1643686	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1678	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae	2|203691|203692|1643686|143786	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1678	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira	2|203691|203692|1643686|143786|29521	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1678	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira_sp_CAG_700	2|203691|203692|1643686|143786|29521|1262760	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1678	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	2|203691|203692|136	0	0	0	0	0	0	0	0	0	0	0.2953	0	0	1.25232	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	2|203691|203692|136|137	0	0	0	0	0	0	0	0	0	0	0.2953	0	0	1.25232	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	2|203691|203692|136|137|157	0	0	0	0	0	0	0	0	0	0	0.2953	0	0	1.25232	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_berlinense	2|203691|203692|136|137|157|225004	0	0	0	0	0	0	0	0	0	0	0.03901	0	0	0	0	0
k__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema_succinifaciens	2|203691|203692|136|137|157|167	0	0	0	0	0	0	0	0	0	0	0.25629	0	0	1.25232	0	0
k__Bacteria|p__Synergistetes	2|508458	0	0	0	0	0	0	0	0	0	0	0	0	0.31837	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0	0	0	0	0	0	0	0	0	0	0	0	0.31837	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2|508458|649775|649776	0	0	0	0	0	0	0	0	0	0	0	0	0.31837	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2|508458|649775|649776|649777	0	0	0	0	0	0	0	0	0	0	0	0	0.31837	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	2|508458|649775|649776|649777|508459	0	0	0	0	0	0	0	0	0	0	0	0	0.31837	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_evryensis	2|508458|649775|649776|649777|508459|508460	0	0	0	0	0	0	0	0	0	0	0	0	0.03003	0	0	0
k__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus_porcorum	2|508458|649775|649776|649777|508459|1197717	0	0	0	0	0	0	0	0	0	0	0	0	0.28833	0	0	0
k__Bacteria|p__Verrucomicrobia	2|74201	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae	2|74201|203494|48461|1647988	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia	2|74201|203494|48461|1647988|239934	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila	2|74201|203494|48461|1647988|239934|239935	0	0	0	0	0.00161	0	0.871	0	0.6039	0.67675	0	0.00011	11.88417	0.31276	0.16868	0
k__Eukaryota	2759	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified	2759|	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified	2759||	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified	2759|||	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified	2759||||	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis	2759|||||12967	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
k__Eukaryota|p__Eukaryota_unclassified|c__Eukaryota_unclassified|o__Eukaryota_unclassified|f__Eukaryota_unclassified|g__Blastocystis|s__Blastocystis_sp_subtype_1	2759|||||12967|944036	0	0	0	0	0	0	0	0	0.00207	0.09246	0	0	0	0	0	0
